case,order,secondary_nm,primary_nm,time_h,permeability_fluorescence,committed_fraction,membrane_compromised_cumulative,atp_proxy,caspase_proxy,ldh_proxy,surface_complex_copies,internalized_complex_copies,payload_copies,delivered_payload_cumulative,core_committed,rim_committed
reference,simultaneous,100.0,146.77992676220705,72.0,0.99457475,0.99787776,0.99455755,0.00388992,0.00332021,0.27071235,24417.6527143,25676.21996058,5488.55452317,24396.66148028,0.99761949,0.99792527
reference,simultaneous,100.0,383.1186849557293,24.0,0.35547362,0.58691242,0.35450794,0.4995411,0.23240448,0.30499263,12505.42245715,13428.66578122,1813.28618915,3045.64536543,0.55427078,0.593821
reference,simultaneous,100.0,383.1186849557293,48.0,0.90962675,0.96030485,0.90940116,0.06600167,0.05090369,0.51012736,10348.27682924,11189.97026813,2256.18326888,6449.1507886,0.95662872,0.96108006
reference,simultaneous,100.0,383.1186849557293,72.0,0.99124702,0.99645489,0.99122339,0.00638051,0.00523151,0.29955528,9413.44213623,9896.13808965,2112.21917031,9349.97600329,0.99612207,0.99652514
reference,simultaneous,100.0,1000.0,24.0,0.16976609,0.34642551,0.16896618,0.69463996,0.17745933,0.15088679,4797.37899905,5147.80612033,694.11939736,1165.24043769,0.30914701,0.35510989
reference,simultaneous,100.0,1000.0,48.0,0.8279154,0.91385998,0.8274695,0.13144131,0.08639047,0.52089836,3971.13187056,4293.49927356,865.09916361,2470.68635853,0.90569633,0.91573214
reference,simultaneous,100.0,1000.0,72.0,0.97987899,0.9910613,0.97981818,0.01523649,0.01124312,0.3501532,3613.0550869,3798.06654282,810.39954674,3583.87070604,0.99016744,0.99126636
reference,primary_first,0.1,0.01,24.0,0.0,0.0,0.0,0.99963623,0.0,0.0,30.17164261,20.57734356,1.40169938,1.85131752,0.0,1e-08
reference,primary_first,0.1,0.01,48.0,5.39e-06,1.14e-05,5.13e-06,0.99657969,6.27e-06,4.54e-06,38.93347827,37.09963392,5.21157166,10.34876103,0.0,1.618e-05
reference,primary_first,0.1,0.01,72.0,0.00016098,0.00024203,0.00015296,0.99240647,8.907e-05,0.00012175,39.48010882,40.14146055,7.2276681,21.21478446,2e-08,0.00034336
reference,primary_first,0.1,0.026101572156825372,24.0,2e-08,7e-08,2e-08,0.99907806,6e-08,1e-08,76.34064294,52.14813215,3.5581392,4.70106358,0.0,1e-07
reference,primary_first,0.1,0.026101572156825372,48.0,8.414e-05,0.00017673,7.995e-05,0.99143287,9.678e-05,7.08e-05,98.35740808,93.74790068,13.18046306,26.19154599,1e-08,0.00025086
reference,primary_first,0.1,0.026101572156825372,72.0,0.0023747,0.00353885,0.00225655,0.97968059,0.0012823,0.00178948,99.74006729,101.41056819,18.26359747,53.64429053,4.1e-07,0.00501962
reference,primary_first,0.1,0.06812920690579614,24.0,2.3e-07,1.05e-06,2.2e-07,0.99776628,8.3e-07,2.1e-07,184.00709538,126.22275543,8.64988626,11.43854919,0.0,1.49e-06
reference,primary_first,0.1,0.06812920690579614,48.0,0.00108029,0.00223536,0.00102645,0.97935167,0.00120891,0.00090685,236.09855743,225.18720175,31.73197371,63.1756523,1.1e-07,0.00317272
reference,primary_first,0.1,0.06812920690579614,72.0,0.0262564,0.03807995,0.0249516,0.93628227,0.01312834,0.01957045,239.41344556,243.42536722,43.86758148,129.08521435,5.71e-06,0.05398657
reference,primary_first,0.1,0.1778279410038923,24.0,2.46e-06,1.109e-05,2.34e-06,0.99512653,8.75e-06,2.24e-06,394.81637407,273.69004201,18.96350719,25.13448753,0.0,1.575e-05
reference,primary_first,0.1,0.1778279410038923,48.0,0.00899474,0.01797212,0.00854671,0.95274662,0.00942541,0.00750874,501.40080288,479.09547818,67.8993992,135.82972609,1.06e-06,0.02550131
reference,primary_first,0.1,0.1778279410038923,72.0,0.14925489,0.2005612,0.14186914,0.7978855,0.05869206,0.10755905,508.21659005,516.80123063,93.29952218,275.84964831,5.758e-05,0.28379556
reference,primary_first,0.1,0.464158883361278,24.0,1.442e-05,6.372e-05,1.37e-05,0.99134937,5.002e-05,1.312e-05,671.4402204,475.06727766,33.67389195,44.85224955,0.0,9.051e-05
reference,primary_first,0.1,0.464158883361278,48.0,0.03518033,0.06620438,0.03343034,0.90817275,0.03277404,0.02907482,835.71374412,801.98356114,114.98579452,232.23974898,5.43e-06,0.0938802
reference,primary_first,0.1,0.464158883361278,72.0,0.33706452,0.41077205,0.32060391,0.61682115,0.09016814,0.2290451,843.8088207,859.040839,155.86615954,465.61553769,0.00031532,0.57758965
reference,primary_first,0.1,1.2115276586285888,24.0,3.545e-05,0.00015288,3.368e-05,0.98851994,0.0001192,3.221e-05,836.15836714,605.98139653,44.18719439,59.25083602,0.0,0.00021714
